538;550
167;312
315;831
812;645
504;963
301;336
218;695
912;536
398;624
725;234
920;972
315;251
502;764
870;840
825;735
165;466
961;529
749;527
425;220
554;325
107;460
589;544
769;561
758;978
662;693
178;813
119;742
152;299
405;371
212;926
107;101
677;452
842;339
343;887
550;580
639;839
514;210
207;406
631;650
817;326
670;814
370;822
500;976
499;726
953;117
472;340
324;390
808;876
956;831
415;449
949;992
231;719
984;487
733;269
521;221
681;630
738;212
215;595
593;410
682;598
274;533
414;852
125;853
820;313
509;227
631;197
824;438
660;345
735;113
765;677
191;641
924;884
155;773
644;425
729;684
221;444
324;396
587;397
340;597
915;962
708;447
181;862
592;225
181;326
249;644
328;823
370;161
485;421
820;896
306;678
727;272
421;146
721;103
582;104
870;228
640;357
552;796
103;489
407;212
450;657
392;176
885;627
127;638
685;397
328;467
678;206
683;247
942;964
489;276
743;782
753;821
550;953
221;630
375;653
215;833
473;754
515;893
185;610
467;439
936;732
127;788
890;322
379;469
212;346
327;911
413;657
802;124
753;524
506;129
578;678
929;818
538;353
813;174
841;984
164;900
680;266
813;320
152;595
719;442
235;668
107;611
494;435
848;622
119;666
681;464
659;942
252;668
308;143
464;805
214;924
100;892
883;658
925;349
129;626
100;366
892;856
549;780
553;669
306;126
314;442
916;959
393;110
198;398
963;184
881;747
585;296
723;328
665;630
767;793
515;755
137;636
860;261
375;624
784;305
744;886
496;240
707;154
992;537
222;890
289;123
575;302
114;726
101;834
470;633
126;138
423;537
588;123
384;972
647;438
285;602
620;992
499;372
336;109
348;144
891;767
263;856
123;130
254;741
363;954
571;219
563;789
164;909
390;663
705;825
493;954
436;300
824;849
589;277
431;278
288;454
123;447
847;561
576;965
519;867
488;850
239;929
774;429
799;232
236;589
393;846
675;205
374;233
939;731
308;936
657;395
854;894
373;796
294;677
715;912
517;402
977;859
835;690
648;121
132;219
568;859
980;254
714;753
998;254
605;681
326;711
805;901
356;993
580;363
141;783
974;953
604;545
224;938
902;895
658;784
408;264
898;717
613;960
653;257
475;116
514;168
990;366
982;352
218;619
395;361
101;465
599;973
596;429
166;297
486;404
789;474
180;837
926;250
905;197
143;487
751;198
541;795
331;277
248;956
942;398
118;980
206;746
806;542
682;458
811;773
266;695
102;767
608;353
851;436
945;844
469;428
178;469
435;293
545;959
321;822
571;216
222;428
615;228
313;254
646;830
725;498
460;878
781;931
331;638
191;213
577;106
950;702
566;936
120;449
988;609
551;801
635;687
352;512
458;252
834;828
490;783
379;732
344;477
160;635
324;465
721;376
959;594
825;176
221;776
936;234
453;207
292;764
964;618
980;256
785;913
938;841
407;482
333;136
724;139
426;770
573;542
538;228
583;554
156;401
715;821
271;414
101;599
681;273
435;346
457;550
236;744
508;142
364;701
230;781
378;345
600;258
242;204
335;828
691;283
489;766
825;753
675;979
245;190
627;610
617;731
940;812
864;986
452;373
378;103
387;687
787;197
573;107
629;352
657;176
327;173
749;821
225;387
667;391
750;232
872;306
844;284
972;207
874;286
893;457
719;602
212;543
638;856
612;580
919;663
809;230
342;797
931;238
924;840
452;385
740;178
415;419
746;257
599;570
160;840
967;495
636;287
593;708
176;345
494;528
358;585
215;955
507;697
155;503
254;597
680;960
372;105
909;336
395;193
588;231
753;888
674;144
208;387
600;115
203;761
985;971
183;904
517;743
414;493
460;203
331;302
856;535
514;705
974;773
928;138
317;870
231;432
690;658
445;159
853;893
722;646
685;938
794;249
231;853
942;565
518;876
451;827
606;817
834;553
246;665
162;858
273;502
386;481
907;484
186;905
174;486
171;376
490;859
832;280
303;763
492;682
648;734
603;208
504;400
996;510
605;601
592;192
632;302
749;403
416;882
671;246
838;386
882;314
738;342
642;801
637;675
628;888
595;256
237;574
900;856
763;568
664;873
547;382
628;201
658;331
791;383
673;729
808;795
542;678
579;537
917;856
280;583
297;395
694;231
880;657
714;804
333;716
913;670
522;725
877;473
918;955
788;201
885;620
754;109
956;595
998;681
186;781
145;743
201;415
860;477
210;286
871;912
589;974
667;751
863;712
176;209
727;360
